Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
EC-2022-001000,7/18/2022,7/20/2022,Second Class,C-13905,Maria Garcia,Consumer,United States,Houston,Texas,South,P-003,Electronics,Phones,iPhone SE,2787.6,5,0,-189.96
EC-2024-001001,5/17/2024,5/18/2024,Same Day,C-30926,Michael Chen,Consumer,United States,San Diego,California,West,P-018,Furniture,Tables,Desk,973.15,5,0,-85.49
EC-2022-001002,3/17/2022,3/24/2022,Second Class,C-70217,Maria Garcia,Consumer,United States,Philadelphia,Pennsylvania,East,P-028,Office Supplies,Art,Markers Set,100.47,3,0,-6.97
EC-2024-001003,7/11/2024,7/16/2024,Standard Class,C-20458,Anna Brown,Home Office,United States,Philadelphia,Pennsylvania,East,P-033,Clothing,Shirts,Polo Shirt,77.08,1,0.3,9.12
EC-2023-001004,7/18/2023,7/24/2023,First Class,C-19358,James Lee,Consumer,United States,Philadelphia,Pennsylvania,East,P-011,Electronics,Tablets,Samsung Tab,664.54,3,0.3,219.96
EC-2023-001005,2/17/2023,2/20/2023,First Class,C-62581,Carlos Rivera,Consumer,United States,San Diego,California,West,P-017,Furniture,Tables,Coffee Table,518.28,1,0,153.69
EC-2022-001006,3/12/2022,3/18/2022,Same Day,C-44438,Michael Chen,Corporate,United States,Dallas,Texas,South,P-039,Electronics,Accessories,Wallet,314.3,2,0,85.96
EC-2021-001007,10/11/2021,10/16/2021,Second Class,C-65333,Maria Garcia,Consumer,United States,Dallas,Texas,South,P-036,Clothing,Jackets,Windbreaker,183.75,2,0.3,18.01
EC-2023-001008,12/20/2023,12/23/2023,Second Class,C-24621,Carlos Rivera,Consumer,United States,San Diego,California,West,P-039,Clothing,Accessories,Wallet,535.15,5,0,150.15
EC-2021-001009,1/7/2021,1/13/2021,Standard Class,C-76540,Anna Brown,Home Office,United States,Phoenix,Arizona,West,P-035,Clothing,Shoes,Casual Sneakers,58.48,1,0.3,8.16
EC-2024-001010,1/10/2024,1/17/2024,First Class,C-41385,John Smith,Consumer,United States,San Diego,California,West,P-019,Furniture,Bookcases,5-Shelf Bookcase,334.07,1,0,104.77
EC-2023-001011,9/23/2023,9/30/2023,Standard Class,C-89507,Michael Chen,Home Office,United States,Los Angeles,California,West,P-013,Furniture,Chairs,Office Chair,469.63,4,0.2,46.75
EC-2022-001012,10/1/2022,10/5/2022,Same Day,C-82603,Anna Brown,Corporate,United States,Philadelphia,Pennsylvania,East,P-018,Furniture,Tables,Desk,285.84,2,0,43.28
EC-2024-001013,12/20/2024,12/26/2024,Second Class,C-97684,Sara Wilson,Consumer,United States,New York,New York,East,P-013,Furniture,Chairs,Office Chair,1652.46,3,0,337.51
EC-2024-001014,3/15/2024,3/20/2024,Same Day,C-56438,Michael Chen,Consumer,United States,Dallas,Texas,South,P-018,Furniture,Tables,Desk,999.8,2,0,79.06
EC-2024-001015,10/11/2024,10/17/2024,Same Day,C-68800,James Lee,Consumer,United States,Los Angeles,California,West,P-038,Clothing,Accessories,Belt,113.31,1,0,12.18
EC-2023-001016,8/6/2023,8/8/2023,Second Class,C-31798,Michael Chen,Corporate,United States,Los Angeles,California,West,P-035,Clothing,Shoes,Casual Sneakers,109.15,5,0,-3.72
EC-2023-001017,4/2/2023,4/3/2023,Second Class,C-82845,Sara Wilson,Corporate,United States,Chicago,Illinois,Central,P-038,Clothing,Accessories,Belt,399.65,3,0.1,54.18
EC-2022-001018,3/22/2022,3/23/2022,Second Class,C-79615,James Lee,Home Office,United States,Austin,Texas,South,P-017,Furniture,Tables,Coffee Table,468.95,1,0,105.63
EC-2021-001019,5/21/2021,5/26/2021,Standard Class,C-91183,Maria Garcia,Home Office,United States,Los Angeles,California,West,P-001,Electronics,Phones,Nokia 3310,1764.15,5,0,-118.38
EC-2022-001020,2/23/2022,3/1/2022,First Class,C-11220,Sara Wilson,Consumer,United States,Philadelphia,Pennsylvania,East,P-037,Clothing,Jackets,Hoodie,184.76,3,0.1,-8.03
EC-2022-001021,3/13/2022,3/18/2022,First Class,C-81200,Carlos Rivera,Consumer,United States,Phoenix,Arizona,West,P-003,Electronics,Phones,iPhone SE,1421.3,2,0,192.58
EC-2021-001022,8/1/2021,8/3/2021,Second Class,C-54942,Anna Brown,Consumer,United States,Phoenix,Arizona,West,P-009,Electronics,Laptops,Lenovo IdeaPad,1213.62,2,0,-16.33
EC-2021-001023,4/15/2021,4/16/2021,Second Class,C-67912,Michael Chen,Corporate,United States,San Antonio,Texas,South,P-031,Office Supplies,Envelopes,Bubble Mailer,7.38,2,0.3,-0.25
EC-2024-001024,11/16/2024,11/18/2024,First Class,C-57795,John Smith,Consumer,United States,San Diego,California,West,P-001,Electronics,Phones,Nokia 3310,876.38,2,0.1,77.33
EC-2024-001025,9/27/2024,9/28/2024,Same Day,C-64040,John Smith,Home Office,United States,Philadelphia,Pennsylvania,East,P-026,Office Supplies,Binders,3-Ring Binder,156.08,2,0,-4.83
EC-2024-001026,10/3/2024,10/10/2024,Standard Class,C-39154,Anna Brown,Corporate,United States,Houston,Texas,South,P-020,Furniture,Bookcases,3-Shelf Bookcase,440.49,1,0.1,137.28
EC-2022-001027,4/12/2022,4/14/2022,Standard Class,C-56025,Michael Chen,Home Office,United States,New York,New York,East,P-037,Clothing,Jackets,Hoodie,206.37,3,0,70.18
EC-2022-001028,6/19/2022,6/21/2022,Second Class,C-67199,Maria Garcia,Corporate,United States,Austin,Texas,South,P-023,Office Supplies,Paper,A4 Ream,52.52,4,0,14.1
EC-2021-001029,4/1/2021,4/7/2021,Standard Class,C-51145,Maria Garcia,Consumer,United States,San Antonio,Texas,South,P-035,Clothing,Shoes,Casual Sneakers,44.92,1,0.3,14.65
EC-2022-001030,10/31/2022,11/4/2022,Standard Class,C-90676,Carlos Rivera,Home Office,United States,Phoenix,Arizona,West,P-029,Office Supplies,Art,Pencil Set,54.29,4,0.3,-1.49
EC-2022-001031,8/11/2022,8/13/2022,First Class,C-32241,Maria Garcia,Home Office,United States,San Antonio,Texas,South,P-033,Clothing,Shirts,Polo Shirt,217.76,4,0.3,24.85
EC-2022-001032,4/27/2022,5/3/2022,Standard Class,C-19545,Sara Wilson,Consumer,United States,Phoenix,Arizona,West,P-028,Office Supplies,Art,Markers Set,16.05,1,0,5.54
EC-2023-001033,10/10/2023,10/14/2023,Second Class,C-77889,Sara Wilson,Consumer,United States,Houston,Texas,South,P-035,Clothing,Shoes,Casual Sneakers,121.96,1,0.1,14.1
